lastname	forename	initials	query		
Andrews	Tallulah	TA	"andrews, tallulah"		
Boffa	Michael	MBB	"boffa, michael B"		
Capone	John	JPC	"Capone, J P"		
Choy	James	WYC	"Choy, Wing-Yiu"		
Davey	Megan	MJD	"Davey, Megan J"		
Dempsey	Brian	BRD	"Dempsey, Brian R"		
Edgell	David	DRE	"Edgell, David R"		
Gebregiworgis	Teklab	TG	"Gebregiworgis, Teklab"		
Gloor	Greg	GBG	"Gloor, Gregory B"		
Hallett	Mike	MTH	"Hallett, Michael T"		
Heinemann	Ilka	IUH	"Heinemann, Ilka U"		
Hu	Pingzhao	PH	"Hu, Pingzhao"		
Junop	Murray	MSJ	"Junop, Murray S"		
Karas	Bogumil	BJK	"Karas, Bogumil J"		
Lajoie	Gilles	GAL	"Lajoie, Gilles A"		
Li	Shawn	SSCL	"Li, Shawn SC"		
Ling	Hong	HL	"Ling, Hong and Canada"		
Litchfield	David	DWL	"Litchfield, David W"		
Lu	Kun Ping	KPL	"Lu, Kun Ping"		
McLachlin	Derek	DTML	"McLachlin, Derek T"		
Meakin	Susan	SOM	"Meakin, Susan O"		
O'Donoghue	Patrick	POD	"O'Donoghue, Patrick"		
Schild-Poulter	Caroline	CSP	"Schild-Poulter, Caroline"		
Shaw	Gary	GSS	"Shaw, Gary S"		
Shilton	Brian	BHS	"Shilton, Brian H"		
Yeung	Ken	KKCY	"Yeung, Ken K-C"		
