lastname	forename	initials	query
Baron	Corey	CAB	Baron, Corey A
Bartha	Robert	RB	Bartha, Robert
Cepinskas	Gediminas	GC	Cepinskas, Gediminas
Cunningham	Ian	IAC	Cunningham, Ian A
Diop	Mamadou	MD	Diop, Mamadou and Ontario
Drangova	Maria	MD	Drangova, Maria
Fenster	Aaron	AF	Fenster, Aaron
Foster	Paula	PJF	Foster, Paula J
Frisbee	Jefferson	JCF	Frisbee, Jefferson C
Gelman	Neil	NG	Gelman, Neil and Canada
Goldman	Daniel	DG	Goldman, Daniel and Canada
Holdsworth	David	DWH	Holdsworth, David W
Khan	Ali	ARK	Khan, Ali R and Canada
Lacefield	James	JCL	Lacefield, James C
Ladak	Hanif	HML	Ladak, Hanif M
Mattonen	Sarah	SAM	Mattonen, Sarah A
McGuire	John	JJM	McGuire, John J and Canada
McKenzie	Charles	CAMK	McKenzie, Charles A
Menon	Ravi	RSM	Menon, Ravi S
Ng	Geoffrey	KCGN	Ng, K C Geoffrey
Parraga	Grace	GP	Parraga, Grace and Canada
Ronald	John	JAR	Ronald, John A
Samani	Abbas	AS	Samani, Abbas
Scholl	Tim	TJS	Scholl, Timothy J
Seminowicz	David	DAS	Seminowicz, David A
Singh	Krishna	KKS	Singh, Krishna K and Canada
St. Lawrence	Keith	KSL	St. Lawrence, Keith
Teeter	Matthew	MGT	Teeter, Matthew G
Ward	Aaron	ADW	Ward, Aaron D
